ID,Name,Pos,tier,tierValue,recommendedDrawWeight,Positive,Negative,Neutral,years active,scout hint,extraHint1,extraHint2
,Magic Johnson,PG,HALL_OF_FAMER,5,0.05,Recorded 24 assists in an NBA playoff game.,A knee injury wrecked most of his second season.,Returned after four years away and played again in 1996.,"1979-1991, 1996","Lost Rookie of the Year, then won Finals MVP.",Was the No. 1 pick in 1979.,Started at center in a Finals clincher and posted 42/15/7.
,Stephen Curry,PG,HALL_OF_FAMER,5,0.05,2009-10 All-Rookie ,Played only 5 games in the 2019-20 season.,Selected 7th overall in the 2009 draft.,2009-present,Led the NBA in steals in 2015-16.,Made 402 three-pointers in the 2015-16 season.,Became the NBA's first unanimous MVP.
,Oscar Robertson,PG,HALL_OF_FAMER,5,0.05,Shot 83.8% from the free-throw line for his career.,Never made an All-Defensive team.,Played for 2 NBA franchises.,1960-1974,Led the NBA in assists 6 times.,Recorded 181 regular-season triple-doubles.,Averaged a triple-double for the entire 1961-62 season.
,Jerry West,PG,HALL_OF_FAMER,5,0.05,Averaged 6.7 assists per game for his career.,Never won MVP,Played college basketball at West Virginia.,1960-1974,Selected 2nd overall in the 1960 draft.,Averaged 27.0 points per game for his career.,Only player to win Finals MVP on the losing team.
,Chris Paul,PG,HALL_OF_FAMER,5,0.05,Started all 78 games he played as a rookie.,Never won an NBA championship.,Listed at 6-foot-0.,2005-2026,Reached his first NBA Finals in his 16th season.,Made 9 All-Defensive teams.,Retired ranked 2nd all-time in both assists and steals.
,Damian Lillard,PG,ALL_STAR,4,0.15,Played all 82 games in each of his first 3 seasons.,Never reached the NBA Finals.,Selected 6th overall in the 2012 draft.,2012-present,Played college basketball at Weber State.,Scored 71 points in a regular-season game.,Ended two playoff series with buzzer-beating threes.
,Kyrie Irving,PG,ALL_STAR,4,0.15,Shot 47.4% from the field for his career.,Never made an All-Defensive team.,Listed at 6-foot-2.,2011-present,"Born in Melbourne, Australia.",Joined the 50-40-90 club in 2020-21.,Hit the go-ahead three in Game 7 of the 2016 Finals.
,Derrick Rose,PG,ALL_STAR,4,0.15,Won Rookie of the Year.,Shot 31.6% from three for his career.,Played college basketball at Memphis.,2008-2024,Missed the entire 2012-13 season.,Scored a career-high 50 points in 2018.,Became the youngest MVP in NBA history.
,Rajon Rondo,PG,ALL_STAR,4,0.15,Shot 45.6% from the field for his career.,Shot 61.1% from the free-throw line for his career.,Selected 21st overall in the 2006 draft.,2006-2022,Led the NBA in assists 3 times.,Recorded 25 assists in a single game.,Won championships with both Boston and Los Angeles.
,Kyle Lowry,PG,ALL_STAR,4,0.15,Played 20 NBA seasons.,Started only 30 games over his first 4 seasons.,Played for 5 NBA franchises.,2006-2026,Spent 9 seasons with Toronto.,Won the 2019 NBA championship with Toronto.,Retired as Toronto's all-time leader in assists and steals.
